epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,5.35627,1.6788,3.49439,4.01275,1.70442,0,0.00554,0.4,0.00283,0.00138,0.00478,0.3375,0.00261,0.00081,1.21246,2.97085,4.10075,1.64454,0,0.0004287,0.0004287,0.0004287
2,9.19883,1.56849,2.92062,3.60913,1.44658,0,0.0141,0.975,0.24788,0.17205,0.0141,0.975,0.11868,0.0309,1.4426,4.53532,3.51677,1.2636,0,0.000875167,0.000875167,0.000875167
3,13.1865,1.48367,4.63543,3.16702,1.28043,0,0.01441,0.9875,0.40413,0.24353,0.01441,0.9875,0.0977,0.0223,1.40375,4.71631,3.54295,1.22573,0,0.0012902,0.0012902,0.0012902
4,17.2649,1.45044,4.78691,3.11188,1.30405,0,0.0133,0.925,0.16657,0.04956,0.00469,0.5,0.03239,0.0101,1.66887,9.41545,3.79736,1.65035,0,0.00128753,0.00128753,0.00128753
5,21.3387,1.53026,2.81834,3.00546,1.31858,0,0.01481,0.9875,0.53356,0.24012,0.01455,0.975,0.48535,0.18088,1.54378,2.91866,3.27604,1.61571,0,0.00124037,0.00124037,0.00124037
6,25.3002,1.46703,1.462,2.29324,1.31453,0,0.71325,0.5,0.77778,0.52821,0.71325,0.5,0.7433,0.48308,1.43206,1.85112,3.10239,1.63317,0,0.00119322,0.00119322,0.00119322
7,29.4087,1.24934,1.49032,1.78097,1.20097,0,0.99158,0.5,0.89222,0.50912,0.99158,0.5,0.83825,0.50895,1.27913,2.36713,2.74229,1.13695,0,0.00114606,0.00114606,0.00114606
8,33.4364,1.11894,1.14064,1.52346,1.11226,0,0.90036,0.5,0.89734,0.68761,0.90036,0.5,0.89734,0.623,1.03285,0.93326,2.8629,1.11033,0,0.0010989,0.0010989,0.0010989
9,37.5607,0.98757,0.89442,1.37047,1.01291,0,0.97521,0.75,0.82552,0.67403,0.97521,0.75,0.82552,0.62183,0.79954,0.67047,2.26415,1.00802,0,0.00105174,0.00105174,0.00105174
10,41.5324,0.96193,0.74464,1.24081,1.00263,0,0.9953,0.5,0.76332,0.51292,0.97988,0.5,0.87895,0.62996,0.91888,0.57273,2.47783,1.04742,0,0.00100459,0.00100459,0.00100459
11,45.5665,0.85105,0.66783,1.09417,0.94692,0,0.98706,0.75,0.8263,0.66528,0.98706,0.75,0.8263,0.65381,0.77143,0.53351,2.02084,0.96019,0,0.00095743,0.00095743,0.00095743
12,49.6582,0.73049,0.63206,1.01828,0.91178,0,0.99018,0.75,0.78417,0.6586,0.99018,0.75,0.78529,0.63674,0.7385,0.71073,1.80634,0.93768,0,0.000910273,0.000910273,0.000910273
13,53.7652,0.65289,0.57393,0.91167,0.89093,0,0.97625,0.83058,0.995,0.83854,0.97625,0.83058,0.995,0.82951,0.48097,0.5464,1.12468,0.91112,0,0.000863116,0.000863116,0.000863116
14,57.7741,0.60191,0.59814,0.82239,0.87055,0,0.97717,0.9506,0.995,0.89648,0.97717,0.9506,0.995,0.86607,0.41207,0.47304,1.09968,0.89838,0,0.000815959,0.000815959,0.000815959
15,61.9151,0.57725,0.48792,0.82183,0.85474,0,0.9757,1,0.995,0.88182,0.9757,1,0.995,0.86722,0.47728,0.34942,1.10329,0.90001,0,0.000768802,0.000768802,0.000768802
16,66.007,0.5563,0.51361,0.82697,0.85985,0,0.97714,1,0.995,0.87081,0.97714,1,0.995,0.91089,0.52683,0.3566,1.12048,0.90709,0,0.000721645,0.000721645,0.000721645
17,70.2662,0.52363,0.47716,0.78048,0.85521,0,0.9853,1,0.995,0.96352,0.9853,1,0.995,0.87779,0.42747,0.3083,0.80744,0.88907,0,0.000674488,0.000674488,0.000674488
18,74.3458,0.50047,0.43306,0.75275,0.83838,0,0.98883,1,0.995,0.9336,0.98883,1,0.995,0.89008,0.52341,0.33348,0.8088,0.91383,0,0.000627331,0.000627331,0.000627331
19,78.4251,0.47394,0.45922,0.6986,0.85657,0,0.99305,1,0.995,0.94567,0.99305,1,0.995,0.90682,0.44629,0.3347,0.6334,0.90606,0,0.000580174,0.000580174,0.000580174
20,82.5194,0.44374,0.38665,0.6859,0.82597,0,0.99462,1,0.995,0.95573,0.99462,1,0.995,0.94412,0.38948,0.2551,0.61324,0.89214,0,0.000533017,0.000533017,0.000533017
