epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.51629,1.86828,4.24821,4.04339,1.76421,0,0.00861,0.66667,0.06716,0.03584,0.00861,0.66667,0.06842,0.03752,1.27908,2.51476,3.45954,1.16908,0,0.0004287,0.0004287,0.0004287
2,8.05183,1.51417,2.58301,3.46524,1.28039,0,0.009,0.66667,0.35074,0.17132,0.009,0.66667,0.35236,0.28872,1.82838,2.71422,3.81952,1.80123,0,0.000860234,0.000860234,0.000860234
3,11.6178,1.78164,3.91088,3.20837,1.51225,0,0.00962,0.65833,0.39538,0.20573,0.00118,0.11667,0.00605,0.00061,1.56797,8.26138,3.58936,1.51981,0,0.00124461,0.00124461,0.00124461
4,15.1343,1.61075,5.87593,3.11038,1.40712,0,0.0099,0.66667,0.43275,0.20266,0.00334,0.33333,0.28924,0.05139,1.47938,8.47554,3.64,1.45571,0,0.00121679,0.00121679,0.00121679
5,18.7045,1.4899,3.19222,3.05098,1.25198,0,0.00908,0.66667,0.66333,0.43244,0.00908,0.66667,0.66333,0.3643,1.33682,2.24854,3.51684,1.251,0,0.00114606,0.00114606,0.00114606
6,22.2832,1.50283,2.02017,2.58938,1.21422,0,0.00921,0.66667,0.65664,0.43962,0.00921,0.66667,0.65664,0.41975,1.29665,1.52207,3.43462,1.17877,0,0.00107532,0.00107532,0.00107532
7,25.8512,1.22385,1.56911,2.2248,1.08491,0,0.82963,0.16667,0.42548,0.30734,0.82963,0.16667,0.48083,0.33791,1.13961,1.43116,3.20719,1.07022,0,0.00100459,0.00100459,0.00100459
8,29.4159,1.13981,1.26914,1.70861,1.04548,0,0.87187,0.66667,0.66333,0.37318,0.87187,0.66667,0.66333,0.45272,0.99248,1.00375,2.98433,1.05609,0,0.000933851,0.000933851,0.000933851
9,33.0116,1.03807,1.05512,1.28473,0.99513,0,0.99092,0.5,0.74451,0.57817,0.99092,0.5,0.74451,0.6097,0.95804,0.64935,2.29319,0.99626,0,0.000863116,0.000863116,0.000863116
10,36.5749,0.99385,1.00765,1.12684,0.9853,0,0.98484,0.50763,0.83067,0.67158,0.98484,0.50763,0.83067,0.6962,0.71903,0.64409,2.11531,0.96254,0,0.00079238,0.00079238,0.00079238
11,40.7998,0.82861,0.78846,1.09555,0.9119,0,0.98466,0.67482,0.995,0.76142,0.98466,0.67482,0.995,0.74255,0.83582,0.71508,1.96379,0.98059,0,0.000721645,0.000721645,0.000721645
12,44.3397,0.79582,0.67635,0.99731,0.90518,0,0.98448,0.71685,0.995,0.80257,0.98448,0.71685,0.995,0.7935,0.74884,0.59979,1.75284,0.94563,0,0.000650909,0.000650909,0.000650909
13,47.8594,0.7077,0.61873,0.9511,0.87952,0,0.98076,0.97755,0.995,0.82095,0.98076,0.97755,0.995,0.81015,0.6333,0.57448,1.37081,0.91514,0,0.000580174,0.000580174,0.000580174
14,51.3997,0.63645,0.59155,0.90176,0.86566,0,0.97732,1,0.995,0.86222,0.97732,1,0.995,0.81377,0.60255,0.53471,1.15119,0.91361,0,0.000509438,0.000509438,0.000509438
15,54.9323,0.59926,0.54154,0.84191,0.84711,0,0.97847,1,0.995,0.90318,0.97847,1,0.995,0.81836,0.54778,0.57022,1.00265,0.90452,0,0.000438703,0.000438703,0.000438703
16,58.4846,0.57102,0.51216,0.81421,0.842,0,0.98434,1,0.995,0.93064,0.98434,1,0.995,0.82645,0.45589,0.52683,0.88972,0.89186,0,0.000367967,0.000367967,0.000367967
17,62.0545,0.54984,0.48547,0.79664,0.8294,0,0.99279,1,0.995,0.90036,0.99279,1,0.995,0.85173,0.42041,0.36858,0.73581,0.89125,0,0.000297232,0.000297232,0.000297232
18,65.5547,0.51799,0.45307,0.76265,0.82402,0,0.99347,1,0.995,0.93276,0.99347,1,0.995,0.85764,0.41413,0.37673,0.70103,0.89082,0,0.000226497,0.000226497,0.000226497
19,69.0925,0.48894,0.44662,0.73989,0.82564,0,0.99382,1,0.995,0.90758,0.99382,1,0.995,0.85309,0.40488,0.40352,0.66543,0.89045,0,0.000155761,0.000155761,0.000155761
20,72.5719,0.48588,0.43295,0.72835,0.82801,0,0.99364,1,0.995,0.91009,0.99364,1,0.995,0.85392,0.39115,0.40214,0.61952,0.89019,0,8.50255e-05,8.50255e-05,8.50255e-05
