epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3.34561,1.65509,3.35792,4.12649,1.6157,0,0.00913,0.66667,0.00777,0.00249,0.00809,0.58333,0.00726,0.00174,1.29981,2.88444,4.10597,1.59158,0,0.000238167,0.000238167,0.000238167
2,4.51391,1.59711,3.4068,3.90174,1.63412,0,0.00913,0.66667,0.00777,0.00249,0.00809,0.58333,0.00726,0.00174,1.29981,2.88444,4.10597,1.59158,0,0.000667343,0.000667343,0.000667343
3,5.61145,1.78093,3.57647,4.00446,1.63062,0,0.00913,0.66667,0.00777,0.00249,0.00809,0.58333,0.00726,0.00174,1.29981,2.88444,4.10597,1.59158,0,0.00103364,0.00103364,0.00103364
4,6.75287,1.47322,3.18031,3.98538,1.51009,0,0.00913,0.66667,0.00777,0.00249,0.00809,0.58333,0.00726,0.00174,1.29981,2.88444,4.10597,1.59158,0,0.00114606,0.00114606,0.00114606
5,7.86611,1.70095,3.32925,3.96602,1.5603,0,0.00913,0.66667,0.00777,0.00249,0.00809,0.58333,0.00726,0.00174,1.29981,2.88444,4.10597,1.59158,0,0.00105174,0.00105174,0.00105174
6,9.40258,1.61959,3.5163,4.04714,1.58091,0,0.00913,0.66667,0.00777,0.00249,0.00809,0.58333,0.00726,0.00174,1.29981,2.88444,4.10597,1.59158,0,0.00095743,0.00095743,0.00095743
7,10.5796,1.62649,4.0817,4.17857,1.44733,0,0.00913,0.66667,0.00777,0.00249,0.00809,0.58333,0.00726,0.00174,1.29981,2.88444,4.10597,1.59158,0,0.000863116,0.000863116,0.000863116
8,11.6926,1.59131,3.73866,4.26952,1.50986,0,0.00858,0.66667,0.01946,0.00701,0.00968,0.75,0.03186,0.01057,1.23104,2.80503,4.02343,1.46175,0,0.000768802,0.000768802,0.000768802
9,12.7524,1.51907,3.7899,4.22627,1.4815,0,0.00858,0.66667,0.01946,0.00701,0.00968,0.75,0.03186,0.01057,1.23104,2.80503,4.02343,1.46175,0,0.000674488,0.000674488,0.000674488
10,13.8236,1.85657,3.93636,4.29612,1.70224,0,0.00858,0.66667,0.01946,0.00701,0.00968,0.75,0.03186,0.01057,1.23104,2.80503,4.02343,1.46175,0,0.000580174,0.000580174,0.000580174
11,14.9099,1.46219,3.41419,4.05337,1.48679,0,0.00858,0.66667,0.01946,0.00701,0.00968,0.75,0.03186,0.01057,1.23104,2.80503,4.02343,1.46175,0,0.00048586,0.00048586,0.00048586
12,16.0151,1.66015,3.89198,4.16379,1.63314,0,0.00858,0.66667,0.01946,0.00701,0.00968,0.75,0.03186,0.01057,1.23104,2.80503,4.02343,1.46175,0,0.000391546,0.000391546,0.000391546
13,17.1017,1.68203,3.67937,4.12039,1.62169,0,0.00858,0.66667,0.01946,0.00701,0.00968,0.75,0.03186,0.01057,1.23104,2.80503,4.02343,1.46175,0,0.000297232,0.000297232,0.000297232
14,18.2237,1.49394,3.61095,4.05633,1.49283,0,0.00858,0.66667,0.01946,0.00701,0.00968,0.75,0.03186,0.01057,1.23104,2.80503,4.02343,1.46175,0,0.000202918,0.000202918,0.000202918
15,19.3449,1.57755,3.48668,4.05216,1.55811,0,0.01189,0.91667,0.04726,0.01864,0.00949,0.75,0.04387,0.01833,1.25973,2.71614,3.87762,1.37483,0,0.000108604,0.000108604,0.000108604
