slot_id,file,active_axis,target_deg,duration_ms,purpose
11,motion_11.csv,1,100,10000,independent_relative_teaching
12,motion_12.csv,1,-100,10000,independent_relative_teaching
13,motion_13.csv,1,10,2000,independent_relative_teaching
14,motion_14.csv,1,-10,2000,independent_relative_teaching
15,motion_15.csv,1,1,2000,independent_relative_teaching
16,motion_16.csv,1,-1,2000,independent_relative_teaching
17,motion_17.csv,1,0.1,2000,independent_relative_teaching
18,motion_18.csv,1,-0.1,2000,independent_relative_teaching
19,motion_19.csv,1,0,10000,independent_relative_teaching
21,motion_21.csv,2,100,10000,independent_relative_teaching
22,motion_22.csv,2,-100,10000,independent_relative_teaching
23,motion_23.csv,2,10,2000,independent_relative_teaching
24,motion_24.csv,2,-10,2000,independent_relative_teaching
25,motion_25.csv,2,1,2000,independent_relative_teaching
26,motion_26.csv,2,-1,2000,independent_relative_teaching
27,motion_27.csv,2,0.1,2000,independent_relative_teaching
28,motion_28.csv,2,-0.1,2000,independent_relative_teaching
29,motion_29.csv,2,0,10000,independent_relative_teaching
31,motion_31.csv,7,100,10000,independent_relative_teaching
32,motion_32.csv,7,-100,10000,independent_relative_teaching
33,motion_33.csv,7,10,2000,independent_relative_teaching
34,motion_34.csv,7,-10,2000,independent_relative_teaching
35,motion_35.csv,7,1,2000,independent_relative_teaching
36,motion_36.csv,7,-1,2000,independent_relative_teaching
37,motion_37.csv,7,0.1,2000,independent_relative_teaching
38,motion_38.csv,7,-0.1,2000,independent_relative_teaching
39,motion_39.csv,7,0,10000,independent_relative_teaching
